"","row","year","date","color"
"699",699,2011,20110701,"#2E382C"
"700",700,2011,20110702,"#2E382C"
"701",701,2011,20110703,"#1A2526"
"702",702,2011,20110704,"#3E4840"
"703",703,2011,20110705,"#253028"
"704",704,2011,20110706,"#2B352D"
"705",705,2011,20110707,"#3B4438"
"706",706,2011,20110708,"#232D29"
"707",707,2011,20110709,"#4C554D"
"708",708,2011,20110710,"#2D372C"
"709",709,2011,20110711,"#242F28"
"710",710,2011,20110712,"#313D38"
"711",711,2011,20110713,"#2C3630"
"712",712,2011,20110714,"#1D2726"
"713",713,2011,20110715,"#2D372B"
"714",714,2011,20110716,"#2B342A"
"715",715,2011,20110717,"#2E3930"
"716",716,2011,20110718,"#2D3731"
"717",717,2011,20110719,"#333F3B"
"718",718,2011,20110720,"#2B362E"
"719",719,2011,20110721,"#333F38"
"720",720,2011,20110722,"#323E39"
"721",721,2011,20110723,"#293027"
"722",722,2011,20110724,"#26302F"
"723",723,2011,20110725,"#26312F"
"724",724,2011,20110726,"#60665B"
"725",725,2011,20110727,"#242D27"
"726",726,2011,20110728,"#2F3628"
"727",727,2011,20110729,"#2C392F"
"728",728,2011,20110730,"#7C7E79"
"729",729,2011,20110731,"#262F29"
"730",730,2011,20110801,"#202C26"
"731",731,2011,20110802,"#222E2C"
"732",732,2011,20110803,"#262F27"
"733",733,2011,20110804,"#495838"
"734",734,2011,20110805,"#3E452E"
"735",735,2011,20110806,"#2C362F"
"736",736,2011,20110807,"#303B34"
"737",737,2011,20110808,"#323E3B"
"738",738,2011,20110809,"#262F2C"
"739",739,2011,20110810,"#878787"
